Resultados del Algoritmo Genético para Catán
==========================================

Parámetros: POPULATION_SIZE=70, CXPB=0.7, MUTPB=0.3, NGEN=200
Tiempo total de ejecución: 8360.68 segundos

Evolución del fitness por generación:
Generación,Fitness Medio,Fitness Máximo
135,0.8243857142857142,0.9999999999999999
136,0.8226196428571428,0.9999999999999999
137,0.8172464285714286,0.9999999999999999
138,0.7993332706766917,0.9999999999999999
139,0.8136642857142856,0.9999999999999999
140,0.8128460526315788,0.9999999999999999
141,0.8176785714285714,0.9999999999999999
142,0.8102178571428571,0.9999999999999999
143,0.8106178571428571,0.9999999999999999
144,0.814192857142857,0.9999999999999999
145,0.8049160714285714,0.9999999999999999
146,0.8132535714285714,0.9999999999999999
147,0.8155749999999999,0.9999999999999999
148,0.8264178571428571,0.9999999999999999
149,0.8158196428571427,0.9999999999999999
150,0.8154071428571429,0.9999999999999999
151,0.8165739661654136,0.9999999999999999
152,0.8118918233082706,0.9999999999999999
153,0.8089696428571427,0.9999999999999999
154,0.8083910714285714,0.9999999999999999
